mp-ids,K_VRH
mp-5976,145.0
mp-6074,30.0
mp-6098,162.0
mp-616458,20.0
mp-6174,122.0
mp-625054,114.0
mp-6394,66.0
mp-643257,14.0
mp-644264,61.0
mp-6459,89.0
mp-6686,104.0
mp-669,87.0
mp-672294,94.0
mp-6754,195.0
mp-675626,62.0
mp-680671,61.0
mp-6916,171.0
mp-6939,167.0
mp-6988,267.0
mp-700,21.0
mp-7038,21.0
mp-7041,65.0
mp-7070,173.0
mp-7364,93.0
mp-739,139.0
mp-7421,31.0
mp-744,88.0
mp-753257,28.0
mp-753669,113.0
mp-754,97.0
mp-754326,56.0
mp-755689,24.0
mp-7557,162.0
mp-7598,124.0
mp-760403,137.0
mp-760414,167.0
mp-760417,10.0
mp-768870,22.0
mp-770771,140.0
mp-7752,47.0
mp-7882,47.0
mp-7899,80.0
mp-7906,38.0
mp-7914,104.0
mp-800,174.0
mp-8013,4.0
mp-803,79.0
mp-81,137.0
mp-810,114.0
mp-8277,53.0
mp-8291,49.0
mp-8307,133.0
mp-8308,103.0
mp-8432,74.0
mp-8537,2.0
mp-8577,100.0
mp-861610,253.0
mp-861629,112.0
mp-861932,91.0
mp-861991,145.0
mp-861994,58.0
mp-862289,44.0
mp-862297,148.0
mp-862367,124.0
mp-862586,297.0
mp-862697,80.0
mp-862730,150.0
mp-862732,64.0
mp-862734,61.0
mp-862750,56.0
mp-862759,51.0
mp-862779,326.0
mp-862842,68.0
mp-862862,106.0
mp-862891,79.0
mp-862892,60.0
mp-862896,111.0
mp-862918,39.0
mp-862989,84.0
mp-862994,60.0
mp-863651,55.0
mp-863679,181.0
mp-863704,45.0
mp-863709,324.0
mp-864607,136.0
mp-864614,72.0
mp-864630,41.0
mp-864743,34.0
mp-864755,43.0
mp-864920,117.0
mp-864962,41.0
mp-864965,98.0
mp-864966,245.0
mp-865,149.0
mp-865003,216.0
mp-865050,156.0
mp-865119,41.0
mp-865152,123.0
mp-865171,29.0
mp-865184,90.0
mp-865254,50.0
mp-865441,166.0
mp-865459,101.0
mp-865468,75.0
mp-865497,291.0
mp-865582,52.0
mp-865652,207.0
mp-865653,254.0
mp-865656,243.0
mp-865662,40.0
mp-865678,192.0
mp-865728,192.0
mp-865742,44.0
mp-865759,137.0
mp-865842,231.0
mp-865857,164.0
mp-865866,140.0
mp-865888,202.0
mp-865964,21.0
mp-865999,82.0
mp-866064,75.0
mp-866069,128.0
mp-866141,229.0
mp-866154,241.0
mp-866163,174.0
mp-866166,102.0
mp-866170,174.0
mp-866174,102.0
mp-866225,49.0
mp-866228,49.0
mp-866314,126.0
mp-8666,22.0
mp-867107,286.0
mp-867211,57.0
mp-867227,48.0
mp-867253,114.0
mp-867260,116.0
mp-867278,121.0
mp-867287,56.0
mp-867346,73.0
mp-867350,30.0
mp-867357,284.0
mp-867507,224.0
mp-867794,125.0
mp-867807,44.0
mp-867834,143.0
mp-867867,78.0
mp-867877,41.0
mp-867881,142.0
mp-8689,55.0
mp-871,211.0
mp-8789,53.0
mp-893,141.0
mp-8994,23.0
mp-9010,14.0
mp-9025,93.0
mp-915,57.0
mp-9208,280.0
mp-9244,153.0
mp-9262,15.0
mp-9264,30.0
mp-929,164.0
mp-9321,58.0
mp-9350,100.0
mp-9371,72.0
mp-9664,18.0
mp-972541,52.0
mp-973374,28.0
mp-975646,61.0
mp-975896,51.0
mp-977363,195.0
mp-977369,63.0
mp-977537,154.0
mp-977542,47.0
mp-978542,58.0
mp-982261,8.0
mp-983428,59.0
mp-989544,52.0
mp-989562,29.0
mp-989568,105.0
mp-9919,47.0
mp-999133,204.0
mp-999455,41.0
mp-9999,296.0
mp-10010,175.0
mp-1001612,95.0
mp-1001786,43.0
mp-10049,163.0
mp-1006146,33.0
mp-10133,79.0
mp-1014252,150.0
mp-10155,193.0
mp-1017554,182.0
mp-1018062,188.0
mp-1018694,85.0
mp-1018725,92.0
mp-1018814,58.0
mp-1019361,69.0
mp-10194,107.0
mp-1024999,160.0
mp-1025187,186.0
mp-1025223,123.0
mp-1025257,92.0
mp-1025267,16.0
mp-1025301,141.0
mp-1025357,141.0
mp-1025365,118.0
mp-1025379,162.0
mp-1025415,153.0
mp-1025497,171.0
mp-1025549,149.0
mp-1029378,114.0
mp-1029395,85.0
mp-1029442,122.0
mp-1029457,98.0
mp-1029474,79.0
mp-1029739,84.0
mp-1029878,92.0
mp-1029943,80.0
mp-10470,221.0
mp-10521,71.0
mp-10616,34.0
mp-10677,74.0
mp-10876,65.0
mp-10965,63.0
mp-10967,57.0
mp-11283,126.0
mp-11288,30.0
mp-11293,115.0
mp-11318,162.0
mp-11366,122.0
mp-11374,56.0
mp-11375,30.0
mp-11400,130.0
mp-11486,110.0
mp-11533,167.0
mp-11547,83.0
mp-11573,207.0
mp-11580,204.0
mp-11621,102.0
mp-1186,18.0
mp-12079,43.0
mp-12277,61.0
mp-12381,98.0
mp-12444,75.0
